,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,days_birth,days_employed,work_phone,home_phone,email,occup_type,family_size,begin_month,credit
3800,F,N,Y,0,171000.0,Pensioner,Higher education,Married,House / apartment,-19961,0,0,0,0,No job,2.0,-9.0,1.0
3801,F,N,Y,5,189000.0,Working,Secondary / secondary special,Separated,House / apartment,-15450,-428,0,1,0,No job,6.0,-50.0,2.0
3802,F,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,-15481,-2874,0,0,0,Private service staff,3.0,-26.0,2.0
3803,F,N,N,0,157500.0,Working,Secondary / secondary special,Widow,House / apartment,-16509,-2013,1,1,0,Sales staff,1.0,-23.0,2.0
3804,F,N,N,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-16775,-3383,0,0,0,Private service staff,1.0,-7.0,2.0
3805,F,N,Y,0,103500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18292,-638,1,1,0,Laborers,2.0,-52.0,2.0
3806,M,N,N,1,360000.0,Working,Lower secondary,Married,House / apartment,-12615,-1048,0,0,1,Laborers,3.0,-24.0,2.0
3807,M,Y,Y,1,247500.0,Working,Higher education,Married,Municipal apartment,-15606,-160,0,1,0,Sales staff,3.0,-49.0,2.0
3808,M,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22044,0,0,0,0,No job,2.0,-2.0,1.0
3809,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18667,-2150,1,0,0,Managers,2.0,-17.0,2.0
3810,F,N,Y,2,360000.0,Commercial associate,Higher education,Married,House / apartment,-10685,-1863,1,0,0,Managers,4.0,-22.0,1.0
3811,F,N,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,-17520,-9225,0,1,0,Managers,2.0,-43.0,2.0
3812,F,N,N,0,157500.0,Working,Higher education,Single / not married,Office apartment,-18973,-3289,0,0,0,Laborers,1.0,-37.0,2.0
3813,F,N,N,0,94500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23647,0,0,1,0,No job,1.0,-5.0,2.0
3814,F,Y,N,2,315000.0,Working,Secondary / secondary special,Married,Rented apartment,-12209,-840,0,1,1,No job,4.0,-60.0,2.0
3815,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-18865,0,0,0,0,No job,1.0,-38.0,2.0
3816,M,Y,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-20049,-2361,0,1,0,Drivers,2.0,0.0,1.0
3817,M,Y,N,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24230,0,0,0,0,No job,2.0,-53.0,2.0
3818,F,Y,Y,0,135000.0,Working,Higher education,Married,House / apartment,-13474,-2894,1,1,0,Accountants,2.0,-48.0,1.0
3819,F,Y,N,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-11664,-460,1,1,0,Core staff,2.0,-4.0,1.0
3820,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13241,-2200,1,1,0,Sales staff,2.0,-1.0,1.0
3821,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-12943,-473,0,0,0,Laborers,2.0,-13.0,2.0
3822,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,0,No job,2.0,-55.0,2.0
3823,F,N,Y,0,81000.0,Working,Secondary / secondary special,Separated,House / apartment,-15007,-1677,1,1,0,Laborers,1.0,-4.0,1.0
3824,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-14466,-1569,0,1,0,No job,2.0,-24.0,2.0
3825,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-14362,-288,1,1,0,Laborers,2.0,-27.0,2.0
3826,M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-13867,-3095,0,0,0,Laborers,3.0,-45.0,2.0
3827,F,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16712,-2393,0,0,0,Core staff,2.0,-44.0,2.0
3828,F,N,Y,2,54000.0,Working,Secondary / secondary special,Married,House / apartment,-9905,-795,0,0,0,Sales staff,4.0,-14.0,2.0
3829,F,N,Y,0,196650.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21415,-2744,0,0,0,Cleaning staff,2.0,-59.0,2.0
3830,F,N,N,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21833,0,0,0,0,No job,2.0,-9.0,2.0
3831,M,Y,Y,0,360000.0,Working,Secondary / secondary special,Married,House / apartment,-17257,-3236,0,0,0,Drivers,2.0,-31.0,2.0
3832,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15653,-5500,0,0,1,Core staff,2.0,-29.0,2.0
3833,F,N,Y,3,180000.0,State servant,Higher education,Married,House / apartment,-16000,-7401,0,0,0,Core staff,5.0,-33.0,2.0
3834,F,N,N,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9320,-2257,0,0,0,High skill tech staff,3.0,-27.0,0.0
3835,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,1,0,0,Managers,2.0,-59.0,2.0
3836,M,N,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-21149,-11884,1,0,0,Laborers,2.0,-46.0,2.0
3837,F,Y,Y,2,67500.0,Working,Secondary / secondary special,Married,House / apartment,-14073,-838,0,1,0,Sales staff,4.0,-11.0,1.0
3838,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-18817,-1094,0,0,0,Laborers,2.0,-1.0,1.0
3839,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15554,-96,0,1,0,Laborers,2.0,-10.0,2.0
3840,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16922,-1386,0,0,0,Realty agents,2.0,-8.0,2.0
3841,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19004,-1570,0,0,0,No job,2.0,-54.0,2.0
3842,M,Y,N,1,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21060,0,0,0,0,No job,3.0,-20.0,2.0
3843,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13566,-1900,1,0,0,High skill tech staff,2.0,-36.0,2.0
3844,M,Y,Y,0,427500.0,State servant,Incomplete higher,Single / not married,Rented apartment,-11943,-3150,0,1,0,High skill tech staff,1.0,-52.0,2.0
3845,M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-9943,-554,1,0,0,Managers,3.0,-17.0,0.0
3846,M,N,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15168,-200,0,0,0,High skill tech staff,1.0,-38.0,2.0
3847,F,N,Y,1,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13541,-3427,0,0,0,Core staff,3.0,-19.0,2.0
3848,F,Y,N,0,112500.0,Working,Higher education,Married,With parents,-10475,-1792,1,1,0,Core staff,2.0,-50.0,2.0
3849,F,N,N,0,157500.0,Pensioner,Higher education,Married,House / apartment,-21734,0,0,0,0,No job,2.0,-47.0,2.0
3850,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,0,Drivers,2.0,-17.0,0.0
3851,M,Y,Y,0,144000.0,Commercial associate,Higher education,Married,House / apartment,-19270,-2356,0,1,0,Managers,2.0,-30.0,2.0
3852,M,N,N,0,148500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-14122,-1193,0,0,1,Laborers,1.0,-51.0,1.0
3853,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18667,-2150,1,0,0,Managers,2.0,-39.0,2.0
3854,F,N,N,0,117000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23056,0,0,0,0,No job,1.0,-35.0,2.0
3855,F,N,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-15608,-2755,0,0,0,Laborers,3.0,-17.0,1.0
3856,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-19982,-1724,0,1,0,No job,2.0,-32.0,2.0
3857,M,Y,N,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-13584,-704,0,1,0,Laborers,3.0,-36.0,2.0
3858,F,Y,N,0,121500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23328,0,0,0,0,No job,1.0,-42.0,2.0
3859,F,N,Y,0,99000.0,State servant,Higher education,Married,House / apartment,-18563,-8284,1,1,0,Laborers,2.0,-11.0,2.0
3860,F,Y,Y,0,135000.0,Working,Higher education,Married,House / apartment,-13474,-2894,1,1,0,Accountants,2.0,-34.0,2.0
3861,F,Y,Y,0,206100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20296,0,0,1,0,No job,2.0,-26.0,2.0
3862,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-15153,-3143,1,1,0,Laborers,2.0,-50.0,0.0
3863,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16344,-126,0,1,0,Drivers,2.0,-8.0,1.0
3864,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915,-3366,0,0,0,Drivers,2.0,-44.0,2.0
3865,F,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10737,-2078,0,0,1,Sales staff,2.0,-47.0,2.0
3866,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22491,0,0,0,0,No job,2.0,-44.0,2.0
3867,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-14749,-884,1,1,0,Cooking staff,2.0,-57.0,1.0
3868,F,Y,Y,1,261000.0,State servant,Higher education,Married,House / apartment,-15050,-1628,0,0,0,Managers,3.0,-26.0,2.0
3869,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21299,0,0,0,0,No job,1.0,-3.0,1.0
3870,F,N,N,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-17767,-11062,1,0,0,Medicine staff,2.0,-50.0,2.0
3871,F,N,N,1,108000.0,Working,Secondary / secondary special,Separated,House / apartment,-14349,-4082,0,1,0,No job,2.0,-34.0,2.0
3872,F,N,Y,1,270000.0,Working,Higher education,Married,House / apartment,-13749,-2877,1,1,0,Managers,3.0,-4.0,1.0
3873,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23018,0,0,0,0,No job,1.0,-18.0,2.0
3874,F,N,Y,0,90000.0,Working,Lower secondary,Married,House / apartment,-11239,-3018,0,1,0,Medicine staff,2.0,-15.0,2.0
3875,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-21757,-2705,0,0,0,Drivers,2.0,-6.0,2.0
3876,F,N,Y,1,90000.0,Working,Higher education,Married,House / apartment,-11574,-3608,0,1,0,High skill tech staff,3.0,-41.0,2.0
3877,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19317,-6590,1,1,1,Laborers,2.0,-40.0,2.0
3878,F,N,N,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16306,-4904,1,1,0,Laborers,2.0,-10.0,2.0
3879,F,N,N,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10193,-105,1,1,0,Accountants,2.0,-27.0,2.0
3880,F,N,Y,0,612000.0,State servant,Secondary / secondary special,Married,House / apartment,-12563,-3715,0,0,1,Accountants,2.0,-19.0,2.0
3881,F,Y,Y,1,180000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-15445,-706,0,0,0,Laborers,3.0,-52.0,1.0
3882,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22946,0,0,0,0,No job,2.0,-15.0,2.0
3883,F,N,N,0,49500.0,Pensioner,Higher education,Married,Municipal apartment,-21157,0,0,0,0,No job,2.0,-24.0,2.0
3884,M,Y,N,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16854,-5179,1,0,0,Managers,2.0,-20.0,1.0
3885,M,Y,Y,0,126000.0,Working,Secondary / secondary special,Separated,House / apartment,-18512,-211,1,1,0,Drivers,1.0,-24.0,2.0
3886,F,N,Y,1,135000.0,Commercial associate,Incomplete higher,Married,House / apartment,-10288,-2616,1,1,0,Managers,3.0,-45.0,2.0
3887,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-17573,-5792,1,1,0,Managers,2.0,-5.0,2.0
3888,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-14567,-7369,1,0,0,Laborers,2.0,-55.0,0.0
3889,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23400,0,0,1,1,No job,1.0,-54.0,1.0
3890,F,N,Y,0,315000.0,Working,Higher education,Separated,House / apartment,-13271,-555,0,0,0,Managers,1.0,-56.0,2.0
3891,F,N,Y,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,-19682,-2104,1,0,0,Cleaning staff,1.0,-12.0,2.0
3892,F,Y,Y,1,360000.0,Working,Higher education,Married,House / apartment,-11619,-2475,0,0,0,No job,3.0,-8.0,1.0
3893,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-23478,0,0,0,0,No job,1.0,-18.0,2.0
3894,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22886,0,0,1,0,No job,2.0,-44.0,0.0
3895,F,Y,Y,0,135000.0,Pensioner,Higher education,Separated,House / apartment,-21844,0,0,0,0,No job,1.0,-7.0,0.0
3896,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24340,0,0,1,0,No job,1.0,-34.0,2.0
3897,F,N,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-13520,-5488,0,0,0,Core staff,2.0,-55.0,2.0
3898,F,N,Y,1,315000.0,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-18794,-1842,0,1,0,Cleaning staff,2.0,-25.0,0.0
3899,F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264,-3173,0,1,1,High skill tech staff,2.0,-20.0,2.0
3900,M,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-9930,-2324,0,0,1,Laborers,4.0,-43.0,1.0
3901,M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-9810,-2993,1,0,0,No job,2.0,-21.0,2.0
3902,M,N,Y,3,180000.0,Working,Secondary / secondary special,Married,House / apartment,-12582,-1838,1,1,0,Drivers,5.0,-17.0,2.0
3903,F,N,N,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-14232,-1404,0,1,0,Sales staff,2.0,-18.0,2.0
3904,M,Y,Y,0,225000.0,Working,Incomplete higher,Married,House / apartment,-16462,-704,0,1,0,Drivers,2.0,-57.0,2.0
3905,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18744,-3141,0,1,0,Laborers,2.0,-56.0,2.0
3906,F,N,N,0,126000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16708,-5760,1,0,0,Managers,2.0,-9.0,1.0
3907,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-17685,-3413,0,1,0,Drivers,2.0,-25.0,1.0
3908,F,N,Y,3,180000.0,State servant,Higher education,Married,House / apartment,-16000,-7401,0,0,0,Core staff,5.0,-17.0,1.0
3909,F,N,Y,0,157500.0,Working,Higher education,Single / not married,House / apartment,-11956,-307,0,0,0,High skill tech staff,1.0,-12.0,2.0
3910,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9955,-2036,0,0,0,No job,2.0,-30.0,2.0
3911,F,Y,Y,0,247500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19046,-5618,0,0,0,Laborers,1.0,-8.0,1.0
3912,F,N,N,1,81000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13894,-980,0,0,0,Laborers,3.0,-7.0,2.0
3913,F,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17297,-2018,0,0,0,Sales staff,2.0,-25.0,2.0
3914,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18199,-2561,0,0,0,Laborers,2.0,-11.0,1.0
3915,F,Y,Y,1,202500.0,State servant,Higher education,Married,House / apartment,-16200,-3627,0,0,0,Core staff,3.0,-19.0,2.0
3916,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-17749,-1010,1,0,0,No job,2.0,-11.0,2.0
3917,F,N,Y,3,202500.0,State servant,Higher education,Married,House / apartment,-12904,-1404,0,1,0,Core staff,5.0,-53.0,0.0
3918,M,Y,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14279,-5329,0,0,0,Sales staff,4.0,-30.0,1.0
3919,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18456,-6791,0,0,0,Managers,2.0,-58.0,2.0
3920,F,Y,Y,1,391500.0,Commercial associate,Higher education,Married,House / apartment,-17423,-472,0,1,0,Managers,3.0,-17.0,1.0
3921,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,With parents,-13689,-1172,0,0,0,Sales staff,3.0,-36.0,0.0
3922,F,N,N,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-18650,-10936,0,1,0,No job,2.0,-60.0,2.0
3923,M,Y,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-17249,-1688,0,0,0,Laborers,2.0,-35.0,2.0
3924,M,Y,N,1,337500.0,State servant,Higher education,Married,House / apartment,-12794,-3574,0,0,0,No job,3.0,-34.0,2.0
3925,M,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-9120,-1693,0,0,0,Laborers,3.0,-19.0,0.0
3926,F,N,N,0,216000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19581,-1781,1,1,0,No job,2.0,-6.0,2.0
3927,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,-19958,-7465,0,0,0,Laborers,2.0,-21.0,2.0
3928,F,N,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,-18942,-4854,1,0,0,Sales staff,2.0,-38.0,1.0
3929,M,Y,Y,0,135000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-17538,-613,0,0,0,Core staff,2.0,-11.0,2.0
3930,M,Y,Y,0,450000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15960,-3574,0,0,0,High skill tech staff,1.0,-42.0,2.0
3931,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-19785,-1571,0,0,0,Laborers,2.0,-32.0,0.0
3932,F,N,Y,0,126000.0,Working,Higher education,Married,House / apartment,-10075,-460,0,1,1,Core staff,2.0,-32.0,2.0
3933,F,N,N,0,207000.0,Working,Higher education,Married,House / apartment,-14740,-6723,0,1,0,Core staff,2.0,-5.0,2.0
3934,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17656,-1225,0,0,0,Cooking staff,2.0,-57.0,2.0
3935,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,0,1,0,Drivers,2.0,-11.0,2.0
3936,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16814,-6614,0,0,0,No job,1.0,-4.0,2.0
3937,F,N,Y,0,315000.0,Commercial associate,Incomplete higher,Married,House / apartment,-17641,-2512,0,0,0,Realty agents,2.0,-21.0,2.0
3938,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18881,-3153,1,0,0,Cooking staff,2.0,-15.0,2.0
3939,F,N,Y,0,76500.0,Pensioner,Higher education,Single / not married,House / apartment,-23372,0,0,0,0,No job,1.0,-54.0,2.0
3940,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-19120,-1923,0,0,0,Drivers,1.0,-1.0,1.0
3941,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Separated,House / apartment,-20196,-2697,0,0,0,Drivers,1.0,-27.0,2.0
3942,F,N,Y,0,103500.0,Commercial associate,Higher education,Civil marriage,With parents,-9088,-2174,0,0,0,No job,2.0,-4.0,1.0
3943,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-13095,-1652,0,0,0,High skill tech staff,2.0,-9.0,1.0
3944,F,Y,Y,0,135000.0,Pensioner,Higher education,Married,House / apartment,-20228,0,0,0,0,No job,2.0,-42.0,2.0
3945,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,-9874,-1928,0,1,0,Laborers,1.0,-35.0,2.0
3946,M,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19161,-3347,1,1,0,Security staff,2.0,-39.0,2.0
3947,F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14326,-555,0,0,0,Core staff,3.0,-3.0,1.0
3948,F,N,Y,0,40500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18207,0,0,1,0,No job,2.0,-40.0,2.0
3949,M,Y,Y,0,184500.0,Working,Secondary / secondary special,Married,House / apartment,-12298,-1200,0,0,0,Drivers,2.0,-57.0,2.0
3950,F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,-11353,-2316,0,0,1,Accountants,2.0,-13.0,1.0
3951,F,N,Y,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-14760,-1315,0,0,0,No job,1.0,-43.0,2.0
3952,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-19766,-5764,0,0,0,Medicine staff,2.0,-17.0,2.0
3953,F,N,Y,0,112500.0,Pensioner,Higher education,Widow,House / apartment,-22231,0,0,0,0,No job,1.0,-34.0,0.0
3954,F,N,Y,3,180000.0,State servant,Higher education,Married,House / apartment,-16000,-7401,0,0,0,Core staff,5.0,-36.0,2.0
3955,F,Y,N,2,162000.0,Commercial associate,Incomplete higher,Married,House / apartment,-9662,-796,1,1,0,Core staff,4.0,-28.0,2.0
3956,M,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17317,-285,0,0,0,Drivers,3.0,-17.0,2.0
3957,F,N,Y,1,67500.0,Working,Secondary / secondary special,Separated,House / apartment,-11126,-2087,1,1,0,Accountants,2.0,-18.0,0.0
3958,F,N,Y,0,216000.0,Pensioner,Higher education,Single / not married,House / apartment,-20388,0,0,0,0,No job,1.0,-2.0,1.0
3959,F,N,Y,0,135000.0,Pensioner,Higher education,Married,House / apartment,-22747,0,0,0,0,No job,2.0,-41.0,2.0
3960,F,N,Y,0,270000.0,Working,Secondary / secondary special,Married,Municipal apartment,-15450,-770,0,0,1,Security staff,2.0,-48.0,2.0
3961,M,Y,Y,0,148500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-18830,-263,0,1,0,Laborers,2.0,-50.0,2.0
3962,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-19219,-2835,0,0,0,No job,2.0,-17.0,2.0
3963,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,0,No job,2.0,-46.0,2.0
3964,F,N,Y,1,90000.0,Commercial associate,Higher education,Married,House / apartment,-9600,-686,1,1,0,Core staff,3.0,-1.0,0.0
3965,F,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-13724,-638,0,0,0,No job,2.0,-8.0,2.0
3966,F,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-18197,-657,0,0,0,No job,2.0,-55.0,2.0
3967,F,Y,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,-22964,0,0,0,0,No job,2.0,-17.0,2.0
3968,M,Y,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8107,-985,0,0,0,Drivers,1.0,-24.0,2.0
3969,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-20319,-3961,1,0,0,No job,2.0,-46.0,2.0
3970,F,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-11342,-2389,0,0,0,No job,1.0,-59.0,2.0
3971,M,Y,N,1,238500.0,Working,Higher education,Married,With parents,-11384,-1965,1,1,0,Drivers,3.0,-27.0,0.0
3972,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17152,-1359,0,0,0,Drivers,3.0,-4.0,0.0
3973,F,N,N,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9915,-250,0,0,0,Laborers,1.0,-51.0,2.0
3974,M,Y,Y,0,382500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-21599,-3021,0,0,0,Laborers,1.0,-23.0,2.0
3975,M,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18745,-3653,0,0,0,Cleaning staff,1.0,-39.0,2.0
3976,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19654,-1751,0,1,0,No job,2.0,-28.0,2.0
3977,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14495,-3505,0,1,0,Laborers,2.0,-20.0,2.0
3978,F,Y,Y,1,405000.0,Working,Higher education,Married,House / apartment,-15276,-3323,0,0,0,Accountants,3.0,-21.0,2.0
3979,F,N,N,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-15260,-622,1,0,0,Laborers,2.0,-8.0,2.0
3980,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-18035,-2026,1,1,0,Drivers,2.0,-11.0,2.0
3981,F,N,Y,0,153000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21778,0,0,1,0,No job,1.0,-38.0,2.0
3982,F,Y,Y,1,157500.0,Working,Incomplete higher,Civil marriage,House / apartment,-13046,-2753,0,0,0,No job,3.0,-13.0,2.0
3983,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-17450,-2542,0,0,0,Laborers,1.0,-26.0,2.0
3984,M,Y,Y,3,81000.0,Working,Secondary / secondary special,Married,House / apartment,-12654,-200,0,0,0,Laborers,5.0,-17.0,2.0
3985,F,N,Y,0,139500.0,Working,Secondary / secondary special,Married,House / apartment,-18730,-157,0,0,1,Cooking staff,2.0,-28.0,2.0
3986,F,N,Y,2,189000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13788,-351,0,1,0,No job,4.0,-15.0,2.0
3987,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15109,-1956,0,0,0,Core staff,3.0,-44.0,2.0
3988,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11004,-1570,0,0,0,Private service staff,2.0,-22.0,2.0
3989,M,N,Y,1,202500.0,Working,Higher education,Married,House / apartment,-11836,-2755,0,0,0,No job,3.0,-6.0,2.0
3990,F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22880,0,0,0,0,No job,2.0,-54.0,2.0
3991,F,N,Y,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-17347,-4234,0,0,0,High skill tech staff,2.0,-59.0,2.0
3992,F,N,Y,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,-15256,-3291,0,0,0,Laborers,1.0,-17.0,2.0
3993,F,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16505,-1862,0,1,1,Core staff,3.0,-5.0,2.0
3994,F,N,Y,0,76500.0,State servant,Secondary / secondary special,Married,House / apartment,-18686,-6773,0,0,0,No job,2.0,-23.0,2.0
3995,F,N,Y,0,144000.0,Working,Higher education,Single / not married,House / apartment,-13190,-4943,0,0,0,No job,1.0,-26.0,1.0
