,gender,car,reality,income_total,income_type,edu_type,family_type,house_type,work_phone,home_phone,email,occup_type,family_size,begin_month,credit,days_unemployed,income_unemployed,Age,birth_month,birth_week,ages_employed,employ_month,employ_week,ages_unemployed,unemploy_month,unemploy_week,income_family
461,M,Y,N,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,1,0,No job,2.0,20,1.0,8042,13.989057448395922,27,9.0,1.0,5,5.0,0.0,22,4.0,0.0,56250.0
462,F,N,N,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,3.0,14,2.0,9013,14.978364584489071,27,2.0,2.0,3,1.0,2.0,24,0.0,3.0,45000.0
463,M,Y,N,207000.0,State servant,Secondary / secondary special,Married,With parents,0,0,0,No job,3.0,59,2.0,14067,14.71529110684581,41,6.0,2.0,3,5.0,0.0,38,0.0,1.0,69000.0
464,M,N,Y,135000.0,Working,Higher education,Married,House / apartment,0,0,1,Laborers,2.0,6,2.0,14886,9.068923821039903,41,2.0,3.0,0,10.0,1.0,40,4.0,2.0,67500.0
465,F,N,Y,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,8,0.0,22523,9.98978821648981,61,6.0,1.0,0,0.0,0.0,61,6.0,1.0,112500.0
466,F,N,Y,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,No job,1.0,5,2.0,23570,4.773016546457361,64,5.0,3.0,0,0.0,0.0,64,5.0,3.0,112500.0
467,M,N,Y,108000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,1,1.0,24365,4.432587728298789,66,8.0,0.0,0,0.0,0.0,66,8.0,0.0,54000.0
468,F,N,Y,157500.0,Working,Higher education,Married,House / apartment,0,0,0,Accountants,5.0,17,2.0,14044,11.214753631444033,39,7.0,3.0,0,7.0,0.0,38,0.0,2.0,31500.0
469,F,N,Y,103500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Cleaning staff,2.0,5,2.0,17989,5.75351603757852,51,3.0,1.0,2,3.0,3.0,49,11.0,1.0,51750.0
470,F,Y,N,270000.0,Working,Higher education,Married,House / apartment,0,1,0,Medicine staff,2.0,18,1.0,18728,14.416915847928236,54,5.0,3.0,3,5.0,0.0,51,0.0,3.0,135000.0
471,F,N,N,180000.0,Commercial associate,Incomplete higher,Married,House / apartment,1,1,0,High skill tech staff,3.0,6,2.0,7286,24.704913532802635,40,9.0,2.0,20,6.0,1.0,19,2.0,0.0,60000.0
472,M,N,Y,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,35,1.0,23096,4.870973328714929,63,1.0,3.0,0,0.0,0.0,63,1.0,3.0,56250.0
473,F,N,Y,65250.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,No job,1.0,34,1.0,19897,3.279388852590843,54,3.0,2.0,0,0.0,0.0,54,3.0,2.0,65250.0
474,F,N,Y,360000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,12,1.0,22933,15.697902585793399,62,8.0,0.0,0,0.0,0.0,62,8.0,0.0,180000.0
475,M,Y,N,202500.0,Commercial associate,Higher education,Married,Municipal apartment,0,0,0,Drivers,3.0,30,2.0,14654,13.818752559028251,42,2.0,0.0,2,5.0,2.0,40,8.0,1.0,67500.0
476,F,N,Y,265500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,2.0,45,2.0,12590,21.08816521048451,43,2.0,3.0,9,3.0,0.0,34,11.0,2.0,132750.0
477,F,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,47,2.0,15503,8.707992001548087,46,2.0,1.0,4,1.0,3.0,42,0.0,2.0,67500.0
478,F,N,N,202500.0,Working,Higher education,Civil marriage,With parents,0,0,0,High skill tech staff,3.0,37,2.0,11598,17.459906880496636,34,8.0,2.0,2,6.0,1.0,31,2.0,0.0,67500.0
479,M,N,N,270000.0,Working,Secondary / secondary special,Married,With parents,1,1,0,Laborers,2.0,40,2.0,11146,24.223936838327653,32,8.0,1.0,1,8.0,0.0,30,11.0,0.0,135000.0
480,F,N,Y,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,No job,1.0,55,2.0,23018,4.887479363976019,63,11.0,0.0,0,0.0,0.0,63,11.0,0.0,112500.0
481,F,N,Y,112500.0,Pensioner,Higher education,Married,House / apartment,0,0,0,No job,2.0,6,1.0,22037,5.105050596723692,60,2.0,0.0,0,0.0,0.0,60,2.0,0.0,56250.0
482,F,N,Y,112500.0,Working,Secondary / secondary special,Married,Rented apartment,0,0,0,Sales staff,2.0,39,2.0,6970,16.140602582496413,43,6.0,0.0,24,1.0,1.0,19,4.0,3.0,56250.0
483,M,N,N,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Laborers,1.0,3,1.0,7441,18.142722752318235,22,10.0,1.0,2,2.0,2.0,20,8.0,3.0,135000.0
484,F,Y,Y,427500.0,Pensioner,Higher education,Married,House / apartment,0,1,0,No job,2.0,15,2.0,23655,18.072289156626507,64,8.0,3.0,0,0.0,0.0,64,8.0,3.0,213750.0
485,F,N,N,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,Sales staff,2.0,37,2.0,15879,19.837521254487058,44,11.0,0.0,0,10.0,0.0,43,1.0,0.0,157500.0
486,F,N,Y,76500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,43,2.0,14535,5.2631578947368425,44,4.0,3.0,4,0.0,2.0,39,4.0,0.0,38250.0
487,F,N,N,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,32,2.0,13395,10.078387458006718,48,11.0,0.0,11,8.0,2.0,36,2.0,1.0,67500.0
488,F,N,Y,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,20,2.0,22115,8.13927198733891,60,5.0,3.0,0,0.0,0.0,60,5.0,3.0,90000.0
489,F,N,Y,261000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,1,0,High skill tech staff,1.0,6,2.0,17916,14.567983924983254,54,10.0,2.0,5,1.0,3.0,49,9.0,3.0,261000.0
490,F,N,N,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,3.0,18,2.0,13824,11.393229166666666,42,11.0,2.0,4,6.0,3.0,37,4.0,2.0,52500.0
491,F,N,Y,157500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,0,No job,1.0,55,2.0,21049,7.482540738277353,57,5.0,3.0,0,0.0,0.0,57,5.0,3.0,157500.0
492,F,N,Y,180000.0,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,2.0,28,2.0,16280,11.056511056511056,47,6.0,1.0,3,4.0,3.0,44,2.0,1.0,90000.0
493,M,Y,N,427500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,Managers,4.0,44,2.0,8744,48.89066788655078,41,0.0,3.0,17,9.0,2.0,23,3.0,1.0,106875.0
494,F,N,N,247500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2.0,38,2.0,14638,16.908047547479164,41,4.0,0.0,1,8.0,0.0,40,7.0,3.0,123750.0
495,F,N,Y,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,52,2.0,6897,22.836015658982166,34,0.0,3.0,15,10.0,2.0,18,1.0,1.0,52500.0
496,F,N,Y,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,Core staff,1.0,44,2.0,11201,20.087492188197484,56,10.0,0.0,25,8.0,0.0,30,1.0,0.0,225000.0
497,M,Y,Y,126000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,31,2.0,12183,10.342280226545187,40,1.0,3.0,7,3.0,3.0,33,10.0,0.0,63000.0
498,F,N,Y,135000.0,Working,Higher education,Married,House / apartment,0,0,0,Laborers,2.0,5,0.0,11671,11.567132208037014,36,11.0,3.0,4,6.0,0.0,31,5.0,3.0,67500.0
499,F,N,Y,270000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Secretaries,4.0,39,2.0,13241,20.391209123178008,42,10.0,1.0,6,1.0,1.0,36,9.0,3.0,67500.0
500,M,Y,N,360000.0,State servant,Higher education,Married,House / apartment,0,0,0,No job,2.0,51,2.0,8060,44.66501240694789,27,8.0,2.0,5,4.0,2.0,22,4.0,3.0,180000.0
501,M,Y,Y,103500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,23,2.0,17190,6.020942408376963,50,6.0,1.0,3,9.0,1.0,47,9.0,3.0,51750.0
502,M,N,N,135000.0,Working,Secondary / secondary special,Civil marriage,Office apartment,0,0,0,Low-skill Laborers,2.0,35,0.0,10209,13.223626212165737,32,6.0,3.0,4,1.0,1.0,27,4.0,2.0,67500.0
503,F,N,N,157500.0,Working,Higher education,Single / not married,House / apartment,0,0,1,Sales staff,1.0,1,1.0,12355,12.747875354107649,35,9.0,2.0,1,5.0,1.0,33,3.0,1.0,157500.0
504,M,Y,N,148500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,Laborers,2.0,11,2.0,7391,20.09200378839129,30,6.0,1.0,9,11.0,1.0,20,6.0,3.0,74250.0
505,F,N,Y,112500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0,1,0,No job,2.0,21,2.0,21216,5.302601809954751,58,11.0,2.0,0,0.0,0.0,58,11.0,2.0,56250.0
506,F,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Waiters/barmen staff,3.0,37,2.0,11940,11.306532663316583,37,8.0,1.0,4,6.0,3.0,32,2.0,1.0,45000.0
507,F,N,Y,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,12,2.0,20931,3.6548659882470975,57,1.0,2.0,0,0.0,0.0,57,1.0,2.0,38250.0
508,F,N,Y,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cleaning staff,2.0,10,2.0,16925,10.635155096011816,51,1.0,1.0,5,1.0,3.0,46,0.0,1.0,90000.0
509,F,N,N,216000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,Cleaning staff,1.0,48,2.0,19501,11.076355058714938,54,8.0,2.0,1,6.0,0.0,53,2.0,1.0,216000.0
510,M,Y,N,121500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2.0,6,2.0,7965,15.254237288135593,40,3.0,0.0,18,2.0,2.0,21,1.0,1.0,60750.0
511,F,N,Y,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,16,2.0,14554,17.005634189913426,41,11.0,3.0,1,6.0,0.0,39,5.0,3.0,123750.0
512,F,N,N,135000.0,State servant,Higher education,Married,House / apartment,1,0,0,Managers,3.0,27,2.0,8432,16.010436432637572,25,3.0,2.0,2,10.0,2.0,23,5.0,0.0,45000.0
513,M,Y,Y,202500.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,0,0,0,No job,2.0,22,2.0,7828,25.868676545733265,28,1.0,1.0,7,4.0,3.0,21,8.0,2.0,101250.0
514,F,N,Y,126000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Cleaning staff,3.0,33,2.0,10257,12.284293653114945,31,10.0,1.0,3,4.0,0.0,28,5.0,1.0,42000.0
515,F,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,No job,4.0,25,2.0,11242,12.008539405799679,34,5.0,2.0,4,2.0,0.0,30,2.0,2.0,33750.0
516,F,Y,Y,112500.0,Working,Higher education,Married,House / apartment,0,0,1,Accountants,2.0,35,1.0,9037,12.448821511563573,31,6.0,1.0,6,5.0,2.0,24,1.0,3.0,56250.0
517,F,N,Y,40500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,44,2.0,21177,1.9124521886952826,58,9.0,1.0,0,0.0,0.0,58,9.0,1.0,20250.0
518,M,Y,Y,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Drivers,2.0,36,2.0,16791,9.380025013400036,47,2.0,1.0,1,6.0,3.0,46,7.0,2.0,78750.0
519,F,N,Y,225000.0,Working,Secondary / secondary special,Widow,House / apartment,1,0,0,High skill tech staff,1.0,57,2.0,17506,12.852736204729807,54,3.0,1.0,6,7.0,0.0,47,7.0,0.0,225000.0
520,F,N,Y,121500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,32,1.0,20536,5.9164394234515,59,8.0,0.0,3,7.0,2.0,56,0.0,1.0,60750.0
521,F,Y,N,108000.0,Working,Secondary / secondary special,Married,With parents,1,0,0,No job,2.0,24,2.0,9054,11.928429423459244,33,0.0,1.0,8,10.0,0.0,24,1.0,1.0,54000.0
522,M,Y,N,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,33,2.0,14625,9.23076923076923,49,3.0,3.0,9,8.0,1.0,40,7.0,1.0,67500.0
523,F,N,N,225000.0,Working,Secondary / secondary special,Married,With parents,0,0,0,Sales staff,4.0,29,2.0,9883,22.76636648790853,33,0.0,1.0,6,6.0,1.0,27,5.0,3.0,56250.0
524,M,N,Y,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,3.0,15,0.0,14463,15.556938394523957,44,11.0,2.0,4,9.0,0.0,39,2.0,2.0,75000.0
525,F,N,Y,90000.0,Working,Higher education,Civil marriage,House / apartment,0,0,0,Medicine staff,2.0,3,1.0,15012,5.995203836930456,43,6.0,2.0,2,10.0,2.0,41,8.0,0.0,45000.0
526,F,Y,Y,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Core staff,2.0,46,1.0,10153,31.02531271545356,42,5.0,0.0,15,3.0,1.0,27,2.0,2.0,157500.0
527,F,N,N,121500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,0,No job,1.0,14,2.0,23491,5.172193606061896,64,3.0,3.0,0,0.0,0.0,64,3.0,3.0,121500.0
528,F,N,Y,157500.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3.0,40,2.0,13583,11.59537657365825,45,7.0,2.0,7,10.0,2.0,37,8.0,0.0,52500.0
529,F,N,Y,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,13,2.0,22892,5.897256683557575,62,7.0,2.0,0,0.0,0.0,62,7.0,2.0,67500.0
530,M,N,N,81000.0,Working,Secondary / secondary special,Married,With parents,1,0,0,Laborers,2.0,21,2.0,10681,7.583559591798521,31,6.0,1.0,1,10.0,3.0,29,8.0,1.0,40500.0
531,M,Y,Y,135000.0,Pensioner,Higher education,Married,House / apartment,0,0,0,No job,2.0,42,2.0,23211,5.816207832493214,63,5.0,3.0,0,0.0,0.0,63,5.0,3.0,67500.0
532,M,Y,N,234000.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,4.0,0,1.0,7050,33.191489361702125,28,7.0,2.0,8,0.0,3.0,19,7.0,3.0,58500.0
533,F,N,Y,81000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Low-skill Laborers,2.0,59,2.0,9554,8.478124345823739,42,7.0,3.0,15,0.0,2.0,26,6.0,0.0,40500.0
534,F,N,N,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,2,1.0,22867,9.44592644422093,62,6.0,2.0,0,0.0,0.0,62,6.0,2.0,108000.0
535,M,N,Y,427500.0,Commercial associate,Higher education,Single / not married,House / apartment,0,1,1,Laborers,1.0,51,2.0,11681,36.597894015923295,43,10.0,0.0,11,5.0,0.0,32,5.0,0.0,427500.0
536,M,Y,Y,315000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Managers,2.0,58,1.0,15432,20.412130637636082,44,3.0,2.0,2,5.0,2.0,42,10.0,0.0,157500.0
537,F,N,Y,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,No job,1.0,16,1.0,22556,5.985103741798191,61,7.0,2.0,0,0.0,0.0,61,7.0,2.0,135000.0
538,F,N,Y,157500.0,Working,Higher education,Married,House / apartment,0,0,1,Medicine staff,2.0,7,1.0,12493,12.607059953574002,42,11.0,0.0,8,2.0,0.0,34,8.0,0.0,78750.0
539,F,Y,Y,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,6,2.0,9591,16.421645292461683,37,5.0,3.0,11,9.0,1.0,26,7.0,2.0,52500.0
540,M,N,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Laborers,4.0,54,1.0,7606,23.6655272153563,27,7.0,2.0,6,5.0,0.0,20,1.0,2.0,45000.0
541,M,Y,Y,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2.0,8,2.0,18489,12.16939802044459,53,0.0,2.0,2,8.0,1.0,50,4.0,1.0,112500.0
542,M,N,Y,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,0,0.0,13239,8.49762066621346,50,1.0,3.0,14,3.0,0.0,36,9.0,3.0,37500.0
543,M,Y,N,360000.0,State servant,Higher education,Married,House / apartment,0,0,0,No job,2.0,12,2.0,8060,44.66501240694789,27,8.0,2.0,5,4.0,2.0,22,4.0,3.0,180000.0
544,M,Y,Y,225000.0,Working,Higher education,Married,House / apartment,0,0,0,Drivers,4.0,34,2.0,12464,18.05198973042362,36,4.0,2.0,2,9.0,1.0,34,7.0,0.0,56250.0
545,F,N,N,121500.0,Working,Higher education,Married,House / apartment,0,0,0,HR staff,4.0,2,0.0,11083,10.96273572137508,32,5.0,3.0,1,8.0,3.0,30,9.0,3.0,30375.0
546,F,N,N,135000.0,Working,Secondary / secondary special,Married,With parents,0,0,0,Core staff,4.0,38,2.0,9626,14.02451693330563,30,4.0,1.0,4,7.0,2.0,26,8.0,3.0,33750.0
547,F,N,Y,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No job,2.0,42,2.0,21511,12.551717725814699,58,9.0,1.0,0,0.0,0.0,58,9.0,1.0,135000.0
548,M,Y,Y,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,12,0.0,15101,7.449837759088802,44,2.0,2.0,3,3.0,1.0,41,11.0,1.0,56250.0
549,M,Y,Y,265500.0,Working,Higher education,Married,House / apartment,0,0,0,Laborers,4.0,2,1.0,9726,27.29796421961752,31,3.0,1.0,5,3.0,0.0,26,0.0,1.0,66375.0
550,M,N,Y,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,53,2.0,19842,11.339582703356516,58,4.0,3.0,4,2.0,1.0,54,1.0,2.0,112500.0
551,F,N,Y,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,7,2.0,21435,6.298110566829951,58,6.0,2.0,0,0.0,0.0,58,6.0,2.0,67500.0
552,F,N,Y,225000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,0,No job,1.0,9,0.0,20267,11.101791088962353,55,3.0,3.0,0,0.0,0.0,55,3.0,3.0,225000.0
553,F,N,Y,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,6,0.0,10846,16.5959800848239,37,5.0,3.0,8,4.0,2.0,29,1.0,1.0,90000.0
554,F,Y,N,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,0,1,0,Sales staff,2.0,57,2.0,16394,6.8622666829327805,47,3.0,1.0,2,8.0,3.0,44,6.0,2.0,56250.0
555,F,N,Y,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,19,2.0,15136,14.86522198731501,56,6.0,0.0,15,6.0,2.0,41,0.0,2.0,112500.0
556,F,N,Y,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,7,2.0,22283,6.058430193420993,61,10.0,3.0,0,0.0,0.0,61,10.0,3.0,67500.0
557,F,N,N,202500.0,State servant,Higher education,Married,With parents,0,1,0,Core staff,2.0,19,1.0,13275,15.254237288135593,39,5.0,0.0,3,6.0,3.0,36,10.0,0.0,101250.0
558,F,N,Y,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,No job,1.0,47,2.0,23639,3.4265408858242736,64,7.0,1.0,0,0.0,0.0,64,7.0,1.0,81000.0
559,F,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,32,2.0,12802,10.54522730823309,43,11.0,2.0,8,5.0,1.0,35,6.0,0.0,67500.0
560,F,N,Y,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,1,Core staff,1.0,54,2.0,9941,24.896891660798712,32,3.0,0.0,5,8.0,3.0,27,7.0,0.0,247500.0
561,F,N,Y,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,No job,2.0,7,2.0,22123,4.0681643538398955,60,5.0,0.0,0,0.0,0.0,60,5.0,0.0,45000.0
562,F,N,N,180000.0,Working,Incomplete higher,Married,With parents,0,0,0,No job,3.0,13,2.0,7246,24.841291747170853,27,6.0,3.0,7,4.0,0.0,19,1.0,3.0,60000.0
563,F,N,Y,247500.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,0,0,0,No job,1.0,31,2.0,22379,11.059475401045622,61,1.0,1.0,0,0.0,0.0,61,1.0,1.0,247500.0
564,F,N,N,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,High skill tech staff,2.0,11,2.0,10984,10.24217042971595,36,3.0,3.0,6,9.0,2.0,30,6.0,1.0,56250.0
565,M,N,N,292500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,No job,3.0,27,2.0,7602,38.476716653512234,42,10.0,1.0,21,9.0,3.0,20,1.0,2.0,97500.0
566,F,N,Y,99000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,3.0,25,1.0,10506,9.423186750428327,29,6.0,3.0,0,4.0,2.0,28,2.0,0.0,33000.0
567,F,Y,Y,175500.0,Pensioner,Higher education,Married,House / apartment,0,1,0,No job,2.0,14,1.0,22077,7.949449653485528,60,3.0,1.0,0,0.0,0.0,60,3.0,1.0,87750.0
568,F,N,Y,135000.0,Working,Incomplete higher,Married,House / apartment,0,0,1,Sales staff,4.0,15,2.0,8423,16.02754363053544,29,5.0,2.0,5,0.0,2.0,23,4.0,3.0,33750.0
569,F,N,Y,126000.0,Working,Higher education,Married,House / apartment,1,1,1,Sales staff,3.0,2,1.0,11303,11.147482969123242,34,2.0,0.0,3,9.0,2.0,30,4.0,2.0,42000.0
570,M,N,N,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,1,0,0,Security staff,2.0,13,2.0,12227,12.88132820806412,40,9.0,3.0,6,10.0,0.0,33,11.0,2.0,78750.0
571,F,N,Y,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,3.0,38,2.0,16155,9.749303621169917,47,11.0,2.0,3,0.0,2.0,44,10.0,3.0,52500.0
572,M,N,Y,148500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,49,2.0,13676,10.85843813980696,51,11.0,2.0,13,11.0,0.0,37,11.0,1.0,74250.0
573,F,N,Y,247500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2.0,29,0.0,8723,28.373266078184113,30,3.0,1.0,6,0.0,3.0,23,2.0,2.0,123750.0
574,F,N,N,270000.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,Cooking staff,1.0,43,0.0,18252,14.792899408284024,51,9.0,1.0,1,1.0,2.0,50,8.0,3.0,270000.0
575,M,Y,N,202500.0,Working,Secondary / secondary special,Separated,With parents,1,0,0,Laborers,2.0,31,0.0,13123,15.43092280728492,37,2.0,3.0,1,8.0,0.0,35,5.0,2.0,101250.0
576,F,N,Y,81000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,39,2.0,16377,4.945960798681077,46,0.0,0.0,1,6.0,0.0,44,5.0,3.0,40500.0
577,F,N,Y,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,4,2.0,20681,6.092548716212949,56,5.0,2.0,0,0.0,0.0,56,5.0,2.0,63000.0
578,M,N,Y,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Drivers,1.0,0,0.0,9465,23.771790808240887,27,6.0,2.0,1,3.0,1.0,25,3.0,0.0,225000.0
579,M,N,Y,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Sales staff,3.0,42,1.0,8970,40.13377926421405,31,0.0,2.0,6,1.0,0.0,24,11.0,1.0,120000.0
580,F,N,N,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,No job,1.0,3,1.0,21440,4.197761194029851,58,6.0,2.0,0,0.0,0.0,58,6.0,2.0,90000.0
581,M,N,N,121500.0,Working,Higher education,Married,House / apartment,0,0,0,No job,2.0,32,2.0,6710,18.107302533532042,26,0.0,3.0,8,5.0,0.0,18,7.0,2.0,60750.0
582,M,N,Y,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,0,0,0,No job,2.0,42,2.0,16491,7.6405311988357285,45,9.0,3.0,0,0.0,0.0,45,9.0,3.0,63000.0
583,M,N,Y,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Security staff,1.0,3,1.0,10914,14.843320505772402,31,11.0,2.0,1,7.0,3.0,29,3.0,3.0,162000.0
584,F,N,Y,157500.0,Commercial associate,Secondary / secondary special,Separated,With parents,0,0,0,No job,1.0,4,1.0,19264,8.175872093023257,53,2.0,1.0,0,8.0,1.0,52,6.0,0.0,157500.0
585,F,Y,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2.0,51,1.0,15198,8.88274772996447,45,11.0,0.0,3,9.0,0.0,41,2.0,3.0,67500.0
586,F,Y,Y,94500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3.0,32,2.0,12931,7.308019488051968,54,11.0,1.0,18,0.0,2.0,35,11.0,3.0,31500.0
587,F,N,Y,189000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,5,2.0,15058,12.551467658387567,45,9.0,0.0,3,11.0,1.0,41,9.0,3.0,94500.0
588,F,N,Y,112500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0,1,0,No job,2.0,27,2.0,20005,5.623594101474631,54,6.0,1.0,0,0.0,0.0,54,6.0,1.0,56250.0
589,F,N,Y,135000.0,Pensioner,Higher education,Married,House / apartment,0,1,1,No job,2.0,13,2.0,23640,5.710659898477157,64,8.0,1.0,0,0.0,0.0,64,8.0,1.0,67500.0
590,F,N,Y,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,53,2.0,22176,3.6525974025974026,60,7.0,0.0,0,0.0,0.0,60,7.0,0.0,40500.0
591,M,Y,Y,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,Laborers,1.0,35,2.0,9675,13.953488372093023,28,4.0,2.0,2,6.0,0.0,26,10.0,2.0,135000.0
592,M,Y,Y,427500.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,3.0,23,2.0,14731,29.020433100264746,41,10.0,3.0,0,11.0,2.0,40,11.0,0.0,142500.0
593,F,N,Y,193500.0,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,2.0,15,2.0,9965,19.41796287004516,30,10.0,1.0,3,2.0,1.0,27,8.0,3.0,96750.0
594,F,N,Y,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,1,1,Private service staff,1.0,12,0.0,10960,24.635036496350367,38,11.0,1.0,8,5.0,3.0,30,5.0,1.0,270000.0
